"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "CSS", "TypeScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\omnora OS\frontend\src\hooks\useInventorySync.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 4, 12, 78
"c:\omnora OS\frontend\src\hooks\useJobPolling.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 1, 6, 53
"c:\omnora OS\frontend\src\hooks\useMinimumLoadingTime.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 1, 6, 34
"c:\omnora OS\frontend\src\hooks\useNodeSelector.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 6, 14, 89
"c:\omnora OS\frontend\src\hooks\useScrollReveal.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 1, 7, 34
"c:\omnora OS\frontend\src\hooks\useStoreHydration.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 2, 7, 41
"c:\omnora OS\frontend\src\hooks\useStorefront.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 6, 11, 72
"c:\omnora OS\frontend\src\hooks\useThemeInjector.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 0, 6, 12, 117
"c:\omnora OS\frontend\src\index.css", "CSS", 0, 0, 0, 0, 124, 0, 0, 0, 0, 20, 144
"c:\omnora OS\frontend\src\lib\CommandExecutor.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 1, 7, 60
"c:\omnora OS\frontend\src\lib\GeoService.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 1, 7, 39
"c:\omnora OS\frontend\src\lib\LocalAIEngine.ts", "TypeScript", 0, 238, 0, 0, 0, 0, 0, 0, 7, 55, 300
"c:\omnora OS\frontend\src\lib\SuperAdminClient.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 2, 11, 64
"c:\omnora OS\frontend\src\lib\axios.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 4, 7, 44
